Year,Matches,Innings,Runs,HS,Ave,SR,100s,50s
2024,15,15,741,113,61.75,154.69,1,5
2023,14,14,639,101,53.25,139.82,2,6
2022,16,16,341,73,22.73,115.98,0,2
2021,15,15,405,72,28.92,119.46,0,3
2020,15,15,466,90,42.36,121.35,0,3
2019,14,14,464,100,33.14,141.46,1,2
2018,14,14,530,92,48.18,139.1,0,4
2017,10,10,308,64,30.8,122.22,0,4
2016,16,16,973,113,81.08,152.03,4,7
2015,16,16,505,82,45.9,130.82,0,3
2014,14,14,359,73,27.61,122.1,0,2
2013,16,16,634,99,45.28,138.73,0,6
2012,16,15,364,73,28,111.65,0,2
2011,16,16,557,71,46.41,121.08,0,4
2010,16,13,307,58,27.9,144.81,0,1
2009,16,13,246,50,22.36,112.32,0,1
2008,13,12,165,38,15,105.09,0,0
17,252,244,8004,80.11764706,38.86294118,128.9829412,8,55
